"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 07 21:01:06 GMT 2021","Wed Apr 07 21:01:06 GMT 2021","5","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","prepareForPayment","Prepare for payment",""
"skipped","Wed Apr 07 21:01:06 GMT 2021","Wed Apr 07 21:01:06 GMT 2021","0","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","delete","delete()",""
"passed","Wed Apr 07 21:01:06 GMT 2021","Wed Apr 07 21:01:06 GMT 2021","0","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","findAll","findAll()",""
"passed","Wed Apr 07 21:01:06 GMT 2021","Wed Apr 07 21:01:06 GMT 2021","11","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","creditAccount","Credit account",""
"passed","Wed Apr 07 21:01:06 GMT 2021","Wed Apr 07 21:01:06 GMT 2021","2","","Payment Controller","","com.costa.luiz.domain.payment.PaymentControllerTest","requestPayment","Request payment",""
"passed","Wed Apr 07 21:01:05 GMT 2021","Wed Apr 07 21:01:06 GMT 2021","787","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","debitAccountAndTransferFunds","Debit and transfer funds",""
"skipped","Wed Apr 07 21:01:06 GMT 2021","Wed Apr 07 21:01:06 GMT 2021","0","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","save","save()",""
"passed","Wed Apr 07 21:01:06 GMT 2021","Wed Apr 07 21:01:06 GMT 2021","29","","com.costa.luiz.domain.payment.SimpleTest","","com.costa.luiz.domain.payment.SimpleTest","testOutput","testOutput()",""
"passed","Wed Apr 07 21:01:06 GMT 2021","Wed Apr 07 21:01:06 GMT 2021","1","","Feature - Payment methods","","com.costa.luiz.domain.payment.PaymentMethodTest","paymentMethod","paymentMethod()",""
"passed","Wed Apr 07 21:01:06 GMT 2021","Wed Apr 07 21:01:06 GMT 2021","42","","Payment Controller","","com.costa.luiz.domain.payment.PaymentControllerTest","transferFunds","Transfer funds",""
