"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 06 16:04:42 GMT 2021","Tue Apr 06 16:04:42 GMT 2021","1","","com.costa.luiz.domain.payment.allure.AllureParameterizedTest","","com.costa.luiz.domain.payment.allure.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [Second Name]","allureParameterizedTest description"
"passed","Tue Apr 06 16:04:42 GMT 2021","Tue Apr 06 16:04:42 GMT 2021","1","","com.costa.luiz.domain.payment.allure.AllureLambdaStepTest","","com.costa.luiz.domain.payment.allure.AllureLambdaStepTest","allureSimpleStepTest","allureSimpleStepTest()",""
"passed","Tue Apr 06 16:04:42 GMT 2021","Tue Apr 06 16:04:42 GMT 2021","2","","com.costa.luiz.domain.payment.allure.AllureAnnotationStepTest","","com.costa.luiz.domain.payment.allure.AllureAnnotationStepTest","allureStepAnnotationTest","allureStepAnnotationTest()",""
"skipped","Tue Apr 06 16:04:43 GMT 2021","Tue Apr 06 16:04:43 GMT 2021","0","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","save","save()",""
"passed","Tue Apr 06 16:04:42 GMT 2021","Tue Apr 06 16:04:42 GMT 2021","1","","allure suite 1","","com.costa.luiz.domain.payment.allure.AllureSuiteTest","allureSuiteTest","allureSuiteTest()",""
"passed","Tue Apr 06 16:04:42 GMT 2021","Tue Apr 06 16:04:42 GMT 2021","11","","com.costa.luiz.domain.payment.allure.AllureLambdaStepTest","","com.costa.luiz.domain.payment.allure.AllureLambdaStepTest","allureLambdaStepTest","allureLambdaStepTest()",""
"passed","Tue Apr 06 16:04:42 GMT 2021","Tue Apr 06 16:04:42 GMT 2021","0","","com.costa.luiz.domain.payment.allure.AllureTestParameterTest","","com.costa.luiz.domain.payment.allure.AllureTestParameterTest","allureTestParametersTest","allureTestParametersTest()",""
"passed","Tue Apr 06 16:04:42 GMT 2021","Tue Apr 06 16:04:42 GMT 2021","70","","com.costa.luiz.domain.payment.allure.AllureParameterizedTest","","com.costa.luiz.domain.payment.allure.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [First Name]","allureParameterizedTest description"
"passed","Tue Apr 06 16:04:42 GMT 2021","Tue Apr 06 16:04:42 GMT 2021","59","","com.costa.luiz.domain.payment.allure.AllureParameterizedTest","","com.costa.luiz.domain.payment.allure.AllureParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest()",""
"passed","Tue Apr 06 16:04:43 GMT 2021","Tue Apr 06 16:04:43 GMT 2021","10","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","findAll","findAll()",""
"passed","Tue Apr 06 16:04:43 GMT 2021","Tue Apr 06 16:04:43 GMT 2021","1","","Payment Controller","","com.costa.luiz.domain.payment.PaymentControllerTest","requestPayment","Request payment",""
"passed","Tue Apr 06 16:04:43 GMT 2021","Tue Apr 06 16:04:43 GMT 2021","1","","Feature - Payment methods","","com.costa.luiz.domain.payment.PaymentMethodTest","paymentMethod","paymentMethod()",""
"passed","Tue Apr 06 16:04:43 GMT 2021","Tue Apr 06 16:04:43 GMT 2021","5","","com.costa.luiz.domain.payment.allure.AllureFixtureTest","","com.costa.luiz.domain.payment.allure.AllureFixtureTest","allureFixtureTest","allureFixtureTest()",""
"passed","Tue Apr 06 16:04:42 GMT 2021","Tue Apr 06 16:04:42 GMT 2021","31","","com.costa.luiz.domain.payment.allure.AllureSimpleTest","","com.costa.luiz.domain.payment.allure.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Tue Apr 06 16:04:42 GMT 2021","Tue Apr 06 16:04:42 GMT 2021","1","","allure suite 2","","com.costa.luiz.domain.payment.allure.AllureSuiteTest","allureSuite2Test","allureSuite2Test()",""
"passed","Tue Apr 06 16:04:42 GMT 2021","Tue Apr 06 16:04:42 GMT 2021","13","","com.costa.luiz.domain.payment.allure.AllureLabelsTest","","com.costa.luiz.domain.payment.allure.AllureLabelsTest","allureLabelTest","allureLabelTest()",""
"passed","Tue Apr 06 16:04:43 GMT 2021","Tue Apr 06 16:04:43 GMT 2021","0","","com.costa.luiz.domain.payment.SimpleTest","","com.costa.luiz.domain.payment.SimpleTest","testOutput","testOutput()",""
"passed","Tue Apr 06 16:04:43 GMT 2021","Tue Apr 06 16:04:43 GMT 2021","0","","com.costa.luiz.domain.payment.allure.AllureFixtureTest","","com.costa.luiz.domain.payment.allure.AllureFixtureTest","allureFixtureTest2","allureFixtureTest2()",""
"passed","Tue Apr 06 16:04:43 GMT 2021","Tue Apr 06 16:04:43 GMT 2021","786","","Payment Controller","","com.costa.luiz.domain.payment.PaymentControllerTest","transferFunds","Transfer funds",""
"passed","Tue Apr 06 16:04:42 GMT 2021","Tue Apr 06 16:04:42 GMT 2021","2","","com.costa.luiz.domain.payment.allure.AllureTestParameterTest","","com.costa.luiz.domain.payment.allure.AllureTestParameterTest","allureOneTestParameterTest","allureOneTestParameterTest()",""
"skipped","Tue Apr 06 16:04:43 GMT 2021","Tue Apr 06 16:04:43 GMT 2021","0","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","delete","delete()",""
