"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 10 20:37:20 GMT 2021","Sat Apr 10 20:37:20 GMT 2021","4","","Feature - Payment methods","","com.costa.luiz.domain.payment.PaymentMethodTest","paymentMethod","paymentMethod()",""
"passed","Sat Apr 10 20:37:19 GMT 2021","Sat Apr 10 20:37:19 GMT 2021","31","","com.costa.luiz.domain.payment.SimpleTest","","com.costa.luiz.domain.payment.SimpleTest","testOutput","testOutput()",""
"passed","Sat Apr 10 20:37:18 GMT 2021","Sat Apr 10 20:37:18 GMT 2021","1","","Account","","com.costa.luiz.domain.payment.AccountTest","balanceOperation","[2] DEBIT, 400.0, 100.0, 300.0",""
"passed","Sat Apr 10 20:37:18 GMT 2021","Sat Apr 10 20:37:18 GMT 2021","13","","Account","","com.costa.luiz.domain.payment.AccountShould","account","account()",""
"passed","Sat Apr 10 20:37:18 GMT 2021","Sat Apr 10 20:37:18 GMT 2021","65","","Account","","com.costa.luiz.domain.payment.AccountTest","balanceOperation","[1] CREDIT, 100.0, 200.0, 300.0",""
"passed","Sat Apr 10 20:37:19 GMT 2021","Sat Apr 10 20:37:19 GMT 2021","4","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","prepareForPayment","Prepare for payment",""
"passed","Sat Apr 10 20:37:19 GMT 2021","Sat Apr 10 20:37:19 GMT 2021","4","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","creditAccount","Credit account",""
"passed","Sat Apr 10 20:37:20 GMT 2021","Sat Apr 10 20:37:20 GMT 2021","6","","Payment Controller","","com.costa.luiz.domain.payment.PaymentControllerTest","requestPayment","Request payment",""
"skipped","Sat Apr 10 20:37:19 GMT 2021","Sat Apr 10 20:37:19 GMT 2021","0","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","save","save()",""
"passed","Sat Apr 10 20:37:19 GMT 2021","Sat Apr 10 20:37:19 GMT 2021","71","","Payment Controller","","com.costa.luiz.domain.payment.PaymentControllerTest","transferFunds","Transfer funds",""
"failed","Sat Apr 10 20:37:19 GMT 2021","Sat Apr 10 20:37:19 GMT 2021","4","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","findAll","findAll()",""
"passed","Sat Apr 10 20:37:18 GMT 2021","Sat Apr 10 20:37:19 GMT 2021","839","","Payment Service","","com.costa.luiz.domain.payment.PaymentServiceTest","debitAccountAndTransferFunds","Debit and transfer funds",""
"skipped","Sat Apr 10 20:37:19 GMT 2021","Sat Apr 10 20:37:19 GMT 2021","0","","In memory store","","com.costa.luiz.domain.payment.InMemoryStoreTest","delete","delete()",""
